id,jobdescriptionenglish,jobdescriptiongreek
1,"This job category encompasses roles and activities related to crop and animal production, hunting and related service activities.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με crop and animal production, hunting and related service activities."
2,This job category encompasses roles and activities related to forestry and logging.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με forestry and logging.
3,This job category encompasses roles and activities related to fishing and aquaculture.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με fishing and aquaculture.
4,This job category encompasses roles and activities related to mining and quarrying.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με mining and quarrying.
5,"This job category encompasses roles and activities related to manufacture of food products, beverages and tobacco products.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of food products, beverages and tobacco products."
6,"This job category encompasses roles and activities related to manufacture of textiles, wearing apparel, leather and related products.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of textiles, wearing apparel, leather and related products."
7,"This job category encompasses roles and activities related to manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials."
8,This job category encompasses roles and activities related to manufacture of paper and paper products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of paper and paper products.
9,This job category encompasses roles and activities related to printing and reproduction of recorded media.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με printing and reproduction of recorded media.
10,This job category encompasses roles and activities related to manufacture of coke and refined petroleum products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of coke and refined petroleum products.
11,This job category encompasses roles and activities related to manufacture of chemicals and chemical products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of chemicals and chemical products.
12,This job category encompasses roles and activities related to manufacture of basic pharmaceutical products and pharmaceutical preparations.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of basic pharmaceutical products and pharmaceutical preparations.
13,This job category encompasses roles and activities related to manufacture of rubber and plastic products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of rubber and plastic products.
14,This job category encompasses roles and activities related to manufacture of other non-metallic mineral products.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of other non-metallic mineral products.
15,This job category encompasses roles and activities related to manufacture of basic metals.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of basic metals.
16,"This job category encompasses roles and activities related to manufacture of fabricated metal products, except machinery and equipment.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of fabricated metal products, except machinery and equipment."
17,"This job category encompasses roles and activities related to manufacture of computer, electronic and optical products.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of computer, electronic and optical products."
18,This job category encompasses roles and activities related to manufacture of electrical equipment.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of electrical equipment.
19,This job category encompasses roles and activities related to manufacture of machinery and equipment n.e.c..,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of machinery and equipment n.e.c..
20,"This job category encompasses roles and activities related to manufacture of motor vehicles, trailers and semi-trailers.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of motor vehicles, trailers and semi-trailers."
21,This job category encompasses roles and activities related to manufacture of other transport equipment.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of other transport equipment.
22,This job category encompasses roles and activities related to manufacture of furniture; other manufacturing.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με manufacture of furniture; other manufacturing.
23,This job category encompasses roles and activities related to repair and installation of machinery and equipment.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με repair and installation of machinery and equipment.
24,"This job category encompasses roles and activities related to electricity, gas, steam and air conditioning supply.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με electricity, gas, steam and air conditioning supply."
25,"This job category encompasses roles and activities related to water collection, treatment and supply.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με water collection, treatment and supply."
26,"This job category encompasses roles and activities related to sewerage, waste collection, treatment and disposal activities; materials recovery, remediation activities and other waste management services.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με sewerage, waste collection, treatment and disposal activities; materials recovery, remediation activities and other waste management services."
27,This job category encompasses roles and activities related to construction.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με construction.
28,This job category encompasses roles and activities related to wholesale and retail trade and repair of motor vehicles and motorcycles.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με wholesale and retail trade and repair of motor vehicles and motorcycles.
29,"This job category encompasses roles and activities related to wholesale trade, except of motor vehicles and motorcycles.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με wholesale trade, except of motor vehicles and motorcycles."
30,"This job category encompasses roles and activities related to retail trade, except of motor vehicles and motorcycles.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με retail trade, except of motor vehicles and motorcycles."
31,This job category encompasses roles and activities related to land transport and transport via pipelines.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με land transport and transport via pipelines.
32,This job category encompasses roles and activities related to water transport.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με water transport.
33,This job category encompasses roles and activities related to air transport.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με air transport.
34,This job category encompasses roles and activities related to warehousing and support activities for transportation.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με warehousing and support activities for transportation.
35,This job category encompasses roles and activities related to postal and courier activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με postal and courier activities.
36,This job category encompasses roles and activities related to accomodation and food and beverage service activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με accomodation and food and beverage service activities.
37,This job category encompasses roles and activities related to publishing activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με publishing activities.
38,"This job category encompasses roles and activities related to motion picture, video and television programme production, sound recording and music publishing activities. broadcasting and programming activities.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με motion picture, video and television programme production, sound recording and music publishing activities. broadcasting and programming activities."
39,This job category encompasses roles and activities related to telecommunications.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με telecommunications.
40,"This job category encompasses roles and activities related to computer programming, consultancy and related activities;information service activities.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με computer programming, consultancy and related activities;information service activities."
41,"This job category encompasses roles and activities related to financial service activities, except insurance and pension funding.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με financial service activities, except insurance and pension funding."
42,"This job category encompasses roles and activities related to insurance, reinsurance and pension funding, except compulsory social security.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με insurance, reinsurance and pension funding, except compulsory social security."
43,This job category encompasses roles and activities related to activities auxiliary to financial services and insurance activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με activities auxiliary to financial services and insurance activities.
44,This job category encompasses roles and activities related to real estate activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με real estate activities.
45,"This job category encompasses roles and activities related to legal and accounting activities, activities of head offices; management consultancy activities.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με legal and accounting activities, activities of head offices; management consultancy activities."
46,This job category encompasses roles and activities related to architecture and engineering activities; technical testing and analysis.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με architecture and engineering activities; technical testing and analysis.
47,This job category encompasses roles and activities related to scientific research and development .,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με scientific research and development .
48,This job category encompasses roles and activities related to advertising and market research.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με advertising and market research.
49,"This job category encompasses roles and activities related to other professional, scientific, technical and veterinary activities.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με other professional, scientific, technical and veterinary activities."
50,This job category encompasses roles and activities related to rental and leasing activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με rental and leasing activities.
51,This job category encompasses roles and activities related to employment activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με employment activities.
52,"This job category encompasses roles and activities related to travel agency, tour operator and other reservation service activities.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με travel agency, tour operator and other reservation service activities."
53,"This job category encompasses roles and activities related to security and investigation activities; services to buildings and landscape activities; office administrative, office support and other business support.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με security and investigation activities; services to buildings and landscape activities; office administrative, office support and other business support."
54,This job category encompasses roles and activities related to public administration and defence; compulsory social security.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με public administration and defence; compulsory social security.
55,This job category encompasses roles and activities related to education.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με education.
56,This job category encompasses roles and activities related to human health activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με human health activities.
57,This job category encompasses roles and activities related to social work activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με social work activities.
58,"This job category encompasses roles and activities related to creative, arts and entertainment activities.
libraries, archives, museums and other cultural activities
gambling and betting activities.","Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με creative, arts and entertainment activities.
libraries, archives, museums and other cultural activities
gambling and betting activities."
59,This job category encompasses roles and activities related to sports activities and amusement and recreation activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με sports activities and amusement and recreation activities.
60,This job category encompasses roles and activities related to activities of membership organizations.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με activities of membership organizations.
61,This job category encompasses roles and activities related to repair of computers and personal and household goods.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με repair of computers and personal and household goods.
62,This job category encompasses roles and activities related to other personal service activities.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με other personal service activities.
63,This job category encompasses roles and activities related to activities of households as employers of domestic personnel. undifferentiated goods- and services-producing activities of private households for own use.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με activities of households as employers of domestic personnel. undifferentiated goods- and services-producing activities of private households for own use.
64,This job category encompasses roles and activities related to activities of extraterritorial organizations and bodies.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με activities of extraterritorial organizations and bodies.
65,This job category encompasses roles and activities related to totalen.,Αυτή η κατηγορία εργασίας περιλαμβάνει ρόλους και δραστηριότητες σχετικά με totalen.
